"449";"lAnguage";"Sprache";"Idioma";"Langue";"Lingua";"Idioma";"Język";"Language"
"450";"cHooseLanguage";"Sprache wählen";"Selecciona idioma";"Choisir la langue";"Scegli la lingua";"Escolha o idioma";"Wybierz język";"Choose language"
"451";"recentHoney";"Honig (unreif)";"miel (sin opercular)";"miel (non operculé)";"miele (non opercolato)";"mel (não operculado)";"miód (nakrop)";"recent honey"
"452";"black";"schwarz ";"negra ";"noire ";"nera ";"preta ";"czarna ";"black "
"453";"yellow";"gelb ";"amarilla ";"jaune ";"gialla ";"amarela ";"żółta ";"yellow "
"454";"red";"rot ";"roja ";"rouge ";"rossa ";"vermelha ";"czerwona ";"red "
"455";"green";"grün ";"verde ";"verte ";"verde ";"verde ";"zielona ";"green "
"456";"blue";"blau ";"azul ";"bleue ";"blu ";"azul ";"niebieska ";"blue "
"457";"white";"weiß ";"blanca ";"blanche ";"bianca ";"branca ";"biała ";"white "
"458";"frameAfter";"Rahmen nach";"cuadro despues";"cadre après";"telaino dopo";"quadro após";"ramka po";"frame after"
"459";"framesAfter";"nach der Durchsicht";"despues de inspeccion";"après inspection";"dopo l'ispezione";"após inspeção";"po przeglądzie";"after inspection"
"460";"framesBefore";"vor der Durchsicht";"antes de inspeccion";"avant inspection";"prima dell'ispezione";"antes da inspeção";"przed przeglądem";"before inspection"
"461";"frameInspections";"Durchsichten";"inspecciones";"inspections";"ispezioni";"inspeções";"przeglądy";"inspections"
"462";"frameRange";"Rahmenbereich";"Rango de cuadros";"Plage de cadres";"Intervallo telai";"Intervalo de quadros";"Zakres ramek";"Frame range"
"463";"aRrangementOfFrames";"Rahmenanordnung";"Disposicion de cuadros";"Disposition des cadres";"Disposizione dei telai";"Disposição dos quadros";"Rozmieszczenie ramek";"Arrangement of frames"
"464";"blackColor";"schwarz ";"negro ";"noir ";"nero ";"preto ";"czarny ";"black"
"465";"yellowColor";"gelb ";"amarillo ";"jaune ";"giallo ";"amarelo ";"żółty ";"yellow"
"466";"redColor";"rot ";"rojo ";"rouge ";"rosso ";"vermelho ";"czerwony ";"red"
"467";"greenColor";"grün ";"verde ";"vert ";"verde ";"verde ";"zielony ";"green"
"468";"blueColor";"blau ";"azul ";"bleu ";"blu ";"azul ";"niebieski ";"blue"
"469";"whiteColor";"weiß ";"blanco ";"blanc ";"bianco ";"branco ";"biały ";"white"
"470";"noData";"keine Daten";"sin datos";"pas de données";"nessun dato";"sem dados";"brak danych";"no data"
"471";"tooMuch";"% zu viel! Maximal wählbar";"% demasiado! Puedes elegir hasta";"% de trop ! Vous pouvez choisir jusqu'à";"% troppo! Puoi selezionare fino a";"% a mais! Pode escolher até";"% za dużo! Wybrać możesz do";"% too much! You can choose up to"
"472";"aBout";"Über";"Acerca de";"À propos";"Info";"Sobre";"O";"About"
"473";"bOdyNumber";"Zargennummer in der Beute";"Numero de alza en la colmena";"Numéro de hausse dans la ruche";"Numero melario nell'arnia";"Número da alça na colmeia";"Numer korpusu w ulu";"Body number in the hive"
"474";"fRameNumber";"Rahmennummer";"Numero de cuadro";"Numéro de cadre";"Numero telaino";"Número do quadro";"Numer ramki";"Frame number"
"475";"one";"eine";"uno";"un";"uno";"um";"jedna";"one"
"476";"many";"mehrere";"varios";"plusieurs";"molti";"vários";"wiele";"many"
"477";"before";"vorher";"antes";"avant";"prima";"antes";"przed";"before"
"478";"after";"nachher";"despues";"après";"dopo";"depois";"po";"after"
"479";"frameNumberBefore";"Rahmennummer vor der Durchsicht";"Numero de cuadro antes de inspeccion";"Numéro de cadre avant l'inspection";"Numero telaino prima dell'ispezione";"Número do quadro antes da inspeção";"Numer ramki przed przeglądem";"Frame number before inspection"
"480";"frameNumberAfter";"Rahmennummer nach der Durchsicht";"Numero de cuadro despues de inspeccion";"Numéro de cadre après l'inspection";"Numero telaino dopo l'ispezione";"Número do quadro após a inspeção";"Numer ramki po przeglądzie";"Frame number after inspection"
"481";"frameNumberFrom";"Rahmennummer von";"Numero de cuadro desde";"Numéro de cadre de";"Numero telaino da";"Número do quadro de";"Numer ramki od";"Frame number from"
"482";"frameNumberTo";"Rahmennummer bis";"Numero de cuadro hasta";"Numéro de cadre à";"Numero telaino a";"Número do quadro até";"Numer ramki do";"Frame number to"
"483";"bOdyType";"Zargentyp";"Tipo de alza";"Type de hausse";"Tipo melario";"Tipo de alça";"Typ korpusu";"Body type"
"484";"half";"halb";"media";"demi";"mezzo";"meia";"pół";"half"
"485";"full";"ganz";"completa";"entier";"intero";"inteira";"cały";"full"
"486";"fRameSize";"Rahmengröße";"Tamano del cuadro";"Taille du cadre";"Dimensione telaino";"Tamanho do quadro";"Rozmiar ramki";"Frame size"
"487";"sIteOfFrame";"Rahmenseite";"Lado del cuadro";"Côté du cadre";"Lato del telaino";"Lado do quadro";"Strona ramki";"Site of frame"
"488";"rEsources";"Vorräte";"Recursos";"Ressources";"Risorse";"Recursos";"Zasoby";"Resources"
"489";"aMountOfWax";"Anteil Mittelwand in %";"Cantidad de cera estampada en %";"Quantité de cire gaufrée en %";"Quantità di foglio cereo in %";"Quantidade de cera alveolada em %";"Ilość węzy w %";"Amount of wax fundation in %"
"490";"aMountOfComb";"Anteil Leerwabe in %";"Cantidad de cuadro estirado en %";"Quantité de cadre bâti vide en %";"Quantità di telaino vuoto in %";"Quantidade de quadro vazio em %";"Ilość suszu w %";"Amount of wax comb in %"
"491";"aMountOfSealed";"Anteil reifer Honig in %";"Cantidad de miel operculada en %";"Quantité de miel operculé en %";"Quantità di miele opercolato in %";"Quantidade de mel operculado em %";"Ilość miodu dojrzałego w %";"Amount of honey sealed in %"
"492";"aMountOfHoney";"Anteil unreifer Honig in %";"Cantidad de miel sin opercular en %";"Quantité de miel non operculé en %";"Quantità di miele non opercolato in %";"Quantidade de mel não operculado em %";"Ilość nakropu w %";"Amount of honey in %"
"493";"aMountOfPollen";"Anteil Bienenbrot in %";"Cantidad de pan de abeja en %";"Quantité de pain d'abeilles en %";"Quantità di pane d'api in %";"Quantidade de perga em %";"Ilość pierzgi w %";"Amount of pollen in %"
"494";"aMountOfEggs";"Anteil Stifte in %";"Cantidad de huevos en %";"Quantité d'œufs en %";"Quantità di uova in %";"Quantidade de ovos em %";"Ilość jajek w %";"Amount of eggs in %"
"495";"aMountOfLarvae";"Anteil Larven in %";"Cantidad de larvas en %";"Quantité de larves en %";"Quantità di larve in %";"Quantidade de larvas em %";"Ilość larw w %";"Amount of larvae in %"
"496";"aMountOfBrood";"Anteil verdeckelte Brut in %";"Cantidad de cria operculada en %";"Quantité de couvain operculé en %";"Quantità di covata opercolata in %";"Quantidade de cria operculada em %";"Ilość czerwiu krytego w %";"Amount of covered brood in %"
"497";"aMountOfDrone";"Anteil Drohnenbrut in %";"Cantidad de cria de zangano en %";"Quantité de couvain de mâles en %";"Quantità di covata maschile in %";"Quantidade de cria de zangão em %";"Ilość czerwiu trutowego w %";"Amount of drone brood in %"
"498";"cOolorOfMother";"Farbe der Königinmarkierung";"Color de marcado de la reina";"Couleur du marquage de la reine";"Colore della marcatura della regina";"Cor da marcação da rainha";"Kolor oznaczenia matki";"The color of the mother's marking"
"499";"nUmberOfQueenCells";"Anzahl Weiselzellen";"Numero de realeras";"Nombre de cellules royales";"Numero di celle reali";"Número de células reais";"Ilość mateczników";"Number of queen cells"
"500";"nUmberOfCellsRemoved";"Anzahl entfernter Weiselzellen";"Numero de realeras eliminadas";"Nombre de cellules royales supprimées";"Numero di celle reali rimosse";"Número de células reais removidas";"Ilość usuniętych mateczników";"Number of queen cells removed"
"501";"bOdy";"Zarge";"Alza";"Hausse";"Melario";"Alça";"Korpus";"Body"
"502";"honeySealedN";"Honig reif";"miel operculada";"miel operculé";"miele opercolato";"mel operculado";"miód dojrzały";"honey sealed"
"503";"hOney";"Honig (unreif)";"miel (sin opercular)";"miel (non operculé)";"miele (non operc.)";"mel (não operc.)";"miód (nakrop)";"honey"
"504";"broodCoveredN";"Brut verdeckelt";"cria operculada";"couvain operculé";"covata opercolata";"cria operculada";"czerw kryty";"brood covered"
"505";"droneN";"Drohnen- brut";"cria de zangano";"couvain de mâles";"covata maschile";"cria de zangão";"czerw trutowy";"drone"
"506";"droneBees";"drohnenbrütig";"zanganera";"pondeuse de mâles";"fucaiola";"zanganeira";"strutowiała";"drone bees"
"507";"deleteQueenCellsN";"entfernte Weiselzellen";"realeras eliminadas";"cellules royales suppr.";"celle reali rimosse";"células reais removidas";"usunięte mateczniki";"delete queen cells"
"508";"waxCombN";"Leerwabe";"cuadro estirado";"cadre bâti vide";"telaino vuoto";"quadro vazio";"susz";"wax comb"
"509";"waxFundationN";"Mittelwand";"cera estampada";"cire gaufrée";"foglio cereo";"cera alveolada";"węza";"wax fundation"
"510";"queenCellsN";"Weiselzellen";"realeras";"cellules royales";"celle reali";"células reais";"mateczniki";"queen cells"
"511";"all";"alle";"todos";"tous";"tutti";"todos";"wszystkie";"all"
"512";"aLl";"Alle";"Todos";"Tous";"Tutti";"Todos";"Wszystkie";"All"
"513";"thisOne";"nur diese";"solo este";"celui-ci";"solo questo";"apenas este";"tylko ten";"this one"
"514";"rEsourceOnFrame";"Vorrat auf dem Rahmen";"Recurso en el cuadro";"Ressource sur le cadre";"Risorsa sul telaino";"Recurso no quadro";"Zasób na ramce";"Resource on frame"
"515";"fRameNumbersBeforeAndAfter";"Nummern vieler Rahmen vorher / nachher";"Numeros de cuadros antes / despues";"Numéros de cadres avant / après";"Numeri telai prima / dopo";"Números de vários quadros antes / depois";"Numery wielu ramek przed / po";"Frame numbers before / after"
"516";"eXportNote";"Alle Notizen in die Cloud exportieren";"Exportar todas las notas a la nube";"Exporter toutes les notes vers le cloud";"Esporta tutte le note nel cloud";"Exportar todas as notas para a nuvem";"Eksport wszystkich notatek do chmury";"Export all notes to the cloud"
"517";"eXportHarvest";"Alle Ernten in die Cloud exportieren";"Exportar todas las cosechas a la nube";"Exporter toutes les récoltes vers le cloud";"Esporta tutti i raccolti nel cloud";"Exportar todas as colheitas para a nuvem";"Eksport wszystkich zbiorów do chmury";"Export all harvests to the cloud"
"518";"eXportPurchase";"Alle Einkäufe in die Cloud exportieren";"Exportar todas las compras a la nube";"Exporter tous les achats vers le cloud";"Esporta tutti gli acquisti nel cloud";"Exportar todas as compras para a nuvem";"Eksport wszystkich zakupów do chmury";"Export all purchases to the cloud"
"519";"eXportSale";"Alle Verkäufe in die Cloud exportieren";"Exportar todas las ventas a la nube";"Exporter toutes les ventes vers le cloud";"Esporta tutte le vendite nel cloud";"Exportar todas as vendas para a nuvem";"Eksport wszystkich sprzedaży do chmury";"Export all sales to the cloud"
"520";"eXportQueens";"Alle Königinnendaten in die Cloud exportieren";"Exportar la base de todas las reinas a la nube";"Exporter la base de toutes les reines vers le cloud";"Esporta il database di tutte le regine nel cloud";"Exportar todas as rainhas para a nuvem";"Eksport bazy wszystkich matek do chmury";"Export all queens to the cloud"
"521";"eXportInfo";"Alle Detaildaten in die Cloud exportieren (Ausrüstung, Volk, Königin, Ernte, Fütterung und Behandlung)";"Exportar todos los datos detallados a la nube (equipamiento, colonia, reina, cosechas, alimentacion y tratamiento)";"Exportation de toutes les données détaillées vers le cloud (équipement, colonie, reine, récolte, nourrissement et traitement)";"Esportazione di tutti i dati dettagliati nel cloud (attrezzatura, colonia, regina, raccolti, nutrizione e trattamento)";"Exportar todos os dados detalhados para a nuvem (equipamento, colónia, rainha, colheitas, alimentação e tratamento)";"Eksport wszystkich danych szczegółowych do chmury (o wyposażeniu, rodzinie, matce, zbiorach, dokarmianiu i leczeniu)";"Export of all detailed data to the cloud (equipment, family, queen, harvest, feeding and treatment)"
"522";"eXportFrame";"Alle Rahmendurchsichtsdaten in die Cloud exportieren";"Exportar todos los datos de inspecciones de cuadros a la nube";"Exporter toutes les données d'inspection des cadres vers le cloud";"Esporta tutti i dati delle ispezioni dei telai nel cloud";"Exportar todos os dados de inspeção de quadros para a nuvem";"Eksport wszystkich danych z przeglądów ramek do chmury";"Export all frame inspection data to the cloud"
"523";"fRames";"Rahmen";"Cuadros";"Cadres";"Telai";"Quadros";"Ramki";"Frames"
"524";"iNfos";"Info";"Info";"Infos";"Info";"Info";"Info";"Infos"
"525";"oNly";"Nur";"Solo";"Seulement";"Solo";"Apenas";"Tylko";"Only"
"526";"enterNote";"Notiz eingeben";"introduce una nota";"entrez une note";"inserisci una nota";"introduza uma nota";"wpisz notatkę";"enter a note"
"527";"enterTitleNote";"Notiztitel eingeben";"introduce un titulo para la nota";"entrez un titre pour la note";"inserisci il titolo della nota";"introduza o título da nota";"wpisz tytuł notatki";"enter a title for the note"
"528";"purchaseData";"Einkaufsdatum";"Fecha de compra";"Date d'achat";"Data acquisto";"Data da compra";"Data zakupu";"Purchase data"
"529";"ostatnieInformacje";"Letzte Informationen";"Ultima informacion";"Dernières informations";"Ultime informazioni";"Últimas informações";"Ostatnie informacje";"Last information"
"530";"oUlu";"über die Beute";"sobre la colmena";"sur la ruche";"sull'arnia";"sobre a colmeia";"o ulu";"about hive"
"531";"oWyposazeniu";"über die Ausrüstung";"sobre el equipamiento";"sur l'équipement";"sull'attrezzatura";"sobre o equipamento";"o wyposażeniu";"about equipment"
"532";"oRodzinie";"über das Volk";"sobre la colonia";"sur la colonie";"sulla colonia";"sobre a colónia";"o rodzinie";"about colony"
"533";"oMatce";"über die Königin";"sobre la reina";"sur la reine";"sulla regina";"sobre a rainha";"o matce";"about queen"
"534";"oZbiorach";"über die Ernte";"sobre las cosechas";"sur les récoltes";"sui raccolti";"sobre as colheitas";"o zbiorach";"about harvests"
"535";"oDokarmianiu";"über die Fütterung";"sobre la alimentacion";"sur le nourrissement";"sulla nutrizione";"sobre a alimentação";"o dokarmianiu";"about feeding"
"536";"oLeczeniu";"über die Behandlung";"sobre el tratamiento";"sur le traitement";"sul trattamento";"sobre o tratamento";"o leczeniu";"about treatment"
"537";"oZasobachMatkach";"über Vorräte und Königinnen";"sobre recursos y reinas";"sur les ressources et les reines";"su risorse e regine";"sobre recursos e rainhas";"o zasobach i matkach";"about resources and mothers"
"538";"oDL";"über Fütterung oder Behandlung";"sobre alimentacion o tratamiento";"sur le nourrissement ou le traitement";"sulla nutrizione o trattamento";"sobre alimentação ou tratamento";"o dokarmianiu lub leczeniu";"about feeding or treatment"
"539";"oZ";"über die Honigernte";"sobre cosecha de miel";"sur la récolte de miel";"sulla raccolta del miele";"sobre colheita de mel";"o zbiorach miodu";"about honey harvest"
"540";"hOneyHarvest";"Honigernte";"Cosecha de miel";"Récolte de miel";"Raccolta miele";"Colheita de mel";"Zbiór miodu";"Honey harvest"
"541";"bEePollenHarvest";"Pollenernte";"Cosecha de polen";"Récolte de pollen";"Raccolta polline";"Colheita de pólen";"Zbiór pyłku";"Bee pollen harvest"
"542";"hArvestReports";"Ernteberichte";"Informes de cosechas";"Rapports de récolte";"Report raccolti";"Relatórios de colheitas";"Raporty zbiorów";"Harvest reports"
"543";"tReatmentReports";"Behandlungsberichte";"Informes de tratamiento";"Rapports de traitement";"Report trattamenti";"Relatórios de tratamento";"Raporty leczenia";"Treatment reports"
"544";"rAports";"Berichte";"Informes";"Rapports";"Report";"Relatórios";"Raporty";"Raports"
"545";"dEad";"Totenfall";"Mortandad";"Mortalité";"Mortalità";"Mortalidade";"Osyp";"Dead"
"546";"onlyInLocalDatabase";"nur in der lokalen Datenbank";"solo en la base de datos local";"uniquement dans la base de données locale";"solo nel database locale";"apenas na base de dados local";"tylko w bazie lokalnej";"only in the local database"
"547";"mOve";"Verschieben";"Mover";"Déplacer";"Sposta";"Mover";"Przenieś";"Move"
"548";"mOveFrame";"Rahmen verschieben";"Mover cuadro";"Déplacer le cadre";"Sposta telaino";"Mover quadro";"Przenieś ramkę";"Przenieś ramkę"
"549";"mOvingFrame";"Rahmen wird verschoben";"Moviendo cuadro";"Déplacement du cadre";"Spostamento telaino";"A mover quadro";"Przenoszenie ramki";"Moving frame"
"550";"mOveFrameFrom";"Rahmen verschieben von:";"Mover cuadro de:";"Déplacer le cadre depuis :";"Sposta telaino da:";"Mover quadro de:";"Przenieś ramkę z:";"Move frame from:"
"551";"mOveFrameTo";"Rahmen verschieben nach:";"Mover cuadro a:";"Déplacer le cadre vers :";"Sposta telaino a:";"Mover quadro para:";"Przenieś ramkę do:";"Move frame to:"
"552";"hIveLiquidation";"Auflösung der Beute";"Liquidacion de colmena";"Liquidation de la ruche";"Liquidazione arnia";"Liquidação da colmeia";"Likwidacja ula";"Hive liquidation"
"553";"hiveLiquidation";"Auflösung der Beute";"liquidacion de colmena";"liquidation de la ruche";"liquidazione arnia";"liquidação da colmeia";"likwidacja ula";"hive liquidation"
"554";"nOteForInspection";"Notiz zur Durchsicht";"Nota para inspeccion";"Note pour l'inspection";"Nota per l'ispezione";"Nota para a inspeção";"Notatka do przeglądu";"Note for inspection"
"555";"pAge";"Seite";"Pagina";"Page";"Pagina";"Página";"Strona";"Page"
"556";"onPage";"Auf Seite";"En la pagina";"Sur la page";"Sulla pagina";"Na página";"Na stronie";"On page"
"557";"hivesOnSite";"Anzahl Beuten pro Berichtseite";"Numero de colmenas en la pagina del informe";"Nombre de ruches par page du rapport";"Numero di arnie sulla pagina del report";"Número de colmeias na página do relatório";"Ilość uli na stronie raportu";"Number of hives on the report page"
"558";"hivesOnSiteReport";"Anzahl Beuten auf einer Seite des Berichts. Diese Anzahl sollte 20 nicht überschreiten.";"Numero de colmenas por pagina del informe presentado. Este numero no debe superar 20.";"Le nombre de ruches sur une page du rapport présenté. Ce nombre ne doit pas dépasser 20.";"Il numero di arnie per pagina del report presentato. Questo numero non dovrebbe superare 20.";"O número de colmeias por página do relatório apresentado. Este número não deve exceder 20.";"Ilość uli na jednej stronie prezentowanego raportu. Ilość ta nie powinna przekraczać 20.";"The number of hives per page of the presented report should not exceed 20."
"559";"hiveNumbers";"Beutennummern";"Numeros de colmenas";"Numéros des ruches";"Numeri arnie";"Números das colmeias";"Numery uli";"Hive numbers"
"560";"selectReportYear";"Berichtsjahr wählen";"Selecciona el ano del informe";"Sélectionnez l'année du rapport";"Seleziona l'anno del report";"Selecione o ano do relatório";"Wybierz rok raportu";"Select the year of the report"
"561";"hIveType";"Beutentyp";"Tipo de colmena";"Type de ruche";"Tipo di arnia";"Tipo de colmeia";"Typ ula";"Type of hive"
"562";"kIndHive";"Beutenart";"Clase de colmena";"Genre de ruche";"Tipo di arnia";"Tipo de colmeia";"Rodzaj ula";"Kind of hive"
"563";"oTHER";"ANDERE";"OTRO";"AUTRE";"ALTRO";"OUTRO";"INNY";"OTHER"
"564";"nUc";"Ableger";"Nucleo";"Nuclei";"Nucleo";"Núcleo";"Odkład";"Nuc"
"565";"mIni";"Begattungskästchen";"Colmena de fecundacion";"Ruchette de fécondation";"Arnietta fecondazione";"Mini colmeia de fecundação";"Ulik weselny";"Mini"
"566";"wEeddingHive";"BEGATTUNGSKÄSTCHEN";"COLMENA DE FECUNDACION";"RUCHETTE DE FÉCONDATION";"ARNIETTA FECONDAZIONE";"COLMEIA DE FECUNDAÇÃO";"ULIK WESELNY";"WEDDING BEEHIVE"
"567";"typeNumberOfFrame";"Typ und Anzahl Rahmen";"tipo y numero de cuadros";"type et nombre de cadres";"tipo e numero di telai";"tipo e número de quadros";"typ i ilość ramek";"type and number of frame"
"568";"iTalian";"Italienerin (Ligustica)";"Italiana (Ligustica)";"Italienne (Ligustica)";"Italiana (Ligustica)";"Italiana (Ligustica)";"Włoszka (Ligustica)";"Italian (Ligustica)"
"569";"cArniolan";"Carnica (Carnica)";"Carniola (Carnica)";"Carniolienne (Carnica)";"Carnica (Carnica)";"Carniolana (Carnica)";"Krainka (Carnica)";"Carniolan (Carnica)"
"570";"cAucasian";"Kaukasische (Caucasica)";"Caucasica (Caucasica)";"Caucasienne (Caucasica)";"Caucasica (Caucasica)";"Caucasiana (Caucasica)";"Kaukaska (Caucasica)";"Caucasian (Caucasica)"
"571";"cEntral";"Dunkle Europäische (Mellifera)";"Centroeuropea (Mellifera)";"Européenne centrale (Mellifera)";"Europea centrale (Mellifera)";"Centro-europeia (Mellifera)";"Środkowo europejska (Mellifera)";"Central European (Mellifera)"
"572";"iBerian";"Iberische (Iberiensis)";"Iberica (Iberiensis)";"Ibérique (Iberiensis)";"Iberica (Iberiensis)";"Ibérica (Iberiensis)";"Iberyjska (Iberiensis)";"Iberian (Iberiensis)"
"573";"pErsian";"Persische (Media)";"Persa (Media)";"Persane (Media)";"Persiana (Media)";"Persa (Media)";"Perska (Media)";"Persian (Media)"
"574";"gReek";"Griechische (Cecropia)";"Griega (Cecropia)";"Grecque (Cecropia)";"Greca (Cecropia)";"Grega (Cecropia)";"Grecka (Cecropia)";"Greek (Cecropia)"
"575";"eAster";"Östliche (Cerana)";"Oriental (Cerana)";"Orientale (Cerana)";"Orientale (Cerana)";"Oriental (Cerana)";"Wschodnia (Cerana)";"Eastern (Cerana)"
"576";"aNatolian";"Anatolische (Anatoliaca)";"Anatolica (Anatoliaca)";"Anatolienne (Anatoliaca)";"Anatolica (Anatoliaca)";"Anatólica (Anatoliaca)";"Anatolska (Anatoliaca)";"Anatolian (Anatoliaca)"
"577";"oTherQueen";"Andere";"Otra";"Autre";"Altra";"Outra";"Inna";"Other"
"578";"bOught";"Gekauft";"Comprada";"Achetée";"Acquistata";"Comprada";"Kupiona";"Bought"
"579";"cOught";"Gefangen";"Capturada";"Capturée";"Catturata";"Capturada";"Złapana";"Cought"
"580";"oWn";"Eigene";"Propia";"Propre";"Propria";"Própria";"Własna";"Own"
"581";"dAteAcquisition";"Beschaffungsdatum";"Fecha de obtencion";"Date d'acquisition";"Data di acquisizione";"Data de aquisição";"Data pozyskania";"Date of acquisition"
"582";"dAteLoss";"Datum des Verlustes";"Fecha de perdida de la reina";"Date de perte de la reine";"Data di perdita della regina";"Data de perda da rainha";"Data straty matki";"Date of loss the queen"
"583";"bReed";"Rasse";"Raza";"Race";"Razza";"Raça";"Rasa";"Breed"
"584";"sUbspecies";"Linie";"Linea";"Lignée";"Linea";"Linhagem";"Linia";"Subspecies"
"585";"sOurce";"Herkunft";"Origen";"Source";"Fonte";"Origem";"Źródło";"Source"
"586";"qUeenMark";"Markierung";"Marcado";"Marquage";"Marcatura";"Marcação";"Oznaczenie";"Queen mark"
"587";"qUeenBorn";"Jahrgang";"Ano de nacimiento";"Année de naissance";"Anno";"Ano de nascimento";"Rocznik";"Yearbook"
"588";"iNscription";"Beschriftung auf dem Opalithplättchen";"Inscripcion en la marca";"Inscription sur la pastille";"Iscrizione sull'opalite";"Inscrição na plaqueta";"Napis na opalitku";"Inscription"
"589";"eDitingQueen";"Königin bearbeiten";"Edicion de reina";"Édition de la reine";"Modifica regina";"Edição da rainha";"Edycja matki";"Editing queen"
"590";"aDdQueenToHive";"Königin zur Beute hinzufügen";"Agregar reina a la colmena";"Ajouter une reine à la ruche";"Aggiungi regina all'arnia";"Adicionar rainha à colmeia";"Dodaj matkę do ula";"Add queen to hive"
"591";"aDdingQueen";"KÖNIGINNENVERWALTUNG";"GESTION DE REINAS";"GESTION DES REINES";"GESTIONE REGINE";"GESTÃO DE RAINHAS";"ZARZĄDZANIE MATKAMI";"QUEEN MANAGEMENT"
"592";"eDit";"Bearbeiten";"Editar";"Modifier";"Modifica";"Editar";"Edytuj";"Edit"
"593";"wHatDoYouWant";"Was können Sie tun?";"Que puedes hacer?";"Que pouvez-vous faire ?";"Cosa puoi fare?";"O que pode fazer?";"Co możesz zrobić?";"What can you do?"
"594";"dIsconnectOrEdit";"Sie können die Königin von der Beute trennen oder ihre Daten bearbeiten, z.B. das Verlustdatum hinzufügen.";"Puedes desconectar la reina de la colmena o editar sus datos, p.ej. agregar la fecha de perdida de la reina.";"Vous pouvez détacher la reine de la ruche ou modifier ses données, par ex. ajouter la date de perte de la reine.";"Puoi scollegare la regina dall'arnia o modificare i suoi dati, ad es. aggiungere la data di perdita della regina.";"Pode desassociar a rainha da colmeia ou editar os seus dados, p. ex. adicionar a data de perda da rainha.";"Możesz odłączyć matkę od ula lub edytować jej dane, np. dodać datę straty matki.";"You can disconnect the queen from the hive or edit her details, e.g. add the date of the queen loss."
"595";"eDitQueen";"Sie können alle Daten der Königin bearbeiten, z.B. das Verlustdatum entfernen, sodass die Königin wieder lebt...";"Puedes editar todos los datos de la reina, por ejemplo, eliminar la fecha de perdida de la reina, lo que hara que la reina vuelva a estar viva...";"Vous pouvez modifier toutes les données de la reine, par exemple supprimer la date de perte de la reine, ce qui la rendra à nouveau vivante...";"Puoi modificare tutti i dati della regina, ad esempio rimuovere la data di perdita della regina, rendendo così la regina di nuovo viva...";"Pode editar todos os dados da rainha, p. ex. remover a data de perda da rainha, o que fará com que a rainha volte a estar viva...";"Możesz edytować wszystkie dane matki, np. usunąć datę straty matki, dzięki czemu matka będzie znowu żywa...";"You can edit all the queen's data, for example, remove the queen's loss date, which will make the queen alive again..."
"596";"dIsconnectQueen";"Königin trennen";"Desconectar reina";"Détacher la reine";"Scollega la regina";"Desassociar rainha";"Odłącz matkę";"Disconnect the queen"
"597";"sElectDate";"Datum wählen";"Seleccionar fecha";"Sélectionnez une date";"Seleziona una data";"Selecione uma data";"Wybierz datę";"Select a date"
"598";"lOst";"Verloren";"Perdida";"Perdue";"Persa";"Perdida";"Stracona";"Lost"
"599";"qUeens";"Königinnen";"Reinas";"Reines";"Regine";"Rainhas";"Matki";"Queens"
"600";"noQueensYet";"Es gibt noch keine Königinnen.";"Aun no hay reinas.";"Il n'y a pas encore de reines.";"Non ci sono ancora regine.";"Ainda não existem rainhas.";"Nie ma jeszcze żadnych matek.";"There are no queens yet."
"601";"nUmberHives";"Anzahl Beuten";"Numero de colmenas";"Nombre de ruches";"Numero di arnie";"Número de colmeias";"Ilość uli";"Number of hives"
"602";"living";"alle lebenden";"todas vivas";"toutes vivantes";"tutte viventi";"todas vivas";"wszystkie żyjące";"all living"
"603";"lost";"alle verlorenen";"todas perdidas";"toutes perdues";"tutte perse";"todas perdidas";"wszystkie utracone";"all lost"
"604";"activ";"verfügbar für diese Beute";"disponibles para esta colmena";"disponibles pour cette ruche";"disponibili per questa arnia";"disponíveis para esta colmeia";"dostępne dla tego ula";"available for this hive"
"605";"register";"registriert, ohne Beute";"registradas, sin colmena";"enregistrées, sans ruche";"registrate, senza arnia";"registadas, sem colmeia";"zarejestrowane, bez ula";"registered, without hive"
"606";"livingInApiary";"lebend in diesem Bienenstand";"vivas en este colmenar";"vivantes dans ce rucher";"viventi in questo apiario";"vivas neste apiário";"żyjące w tej pasiece";"living it this apiary"
"607";"zObuStron";" von beiden Seiten";" de ambos lados";" des deux côtés";" su entrambi i lati";" de ambos os lados";" z obu stron";" on both sides"
